request_idx,time
1,3.007331
2,1.703823
3,0.401197
4,2.105221
5,0.902128
6,0.401011
7,0.401072
8,0.701701
9,0.701699
10,0.401057
11,0.401099
12,0.401069
13,0.401033
14,0.401046
15,0.50118
16,0.501176
17,0.300844
18,0.401172
19,0.400863
20,0.401023
21,0.401008
22,0.501247
23,0.501191
24,0.501373
25,0.401126
26,0.400905
27,0.401023
28,0.501271
29,0.501065
30,0.413851
31,0.300959
32,0.701615
33,0.40112
34,1.904298
35,0.902041
36,1.202775
37,0.000286
38,0.000276
39,0.000268
40,0.000273
41,0.000291
42,0.000275
43,0.000322
44,0.000275
45,0.000277
46,0.000277
47,0.000277
48,0.000264
49,0.00027
50,0.000273
51,0.0003
52,0.000329
53,0.000332
54,0.000318
55,0.000347
56,0.000299
57,0.000345
58,0.00032
59,0.00027
60,0.000323
61,0.401132
62,0.701716
63,0.401031
64,2.105397
65,0.902238
66,0.401069
67,0.501196
68,0.701532
69,0.701509
70,0.401085
71,0.401093
72,0.400987
73,0.501175
74,0.401108
75,0.501239
76,0.501174
77,0.300835
78,0.40102
79,0.000444
80,0.000229
81,0.00028
82,0.000271
83,0.00027
84,0.0003
85,0.000271
86,0.000298
87,0.000272
88,0.000271
89,0.000265
90,0.000283
