request_idx,time
1,0.602041
2,3.108454
3,2.809042
4,2.106423
5,4.417505
6,3.91791
7,4.121584
8,21.746286
9,20.966623
10,20.46226
11,19.968748
12,19.769837
13,19.575611
14,19.683311
15,20.88695
16,24.11115
17,32.045746
18,31.460493
19,30.954542
20,30.645805
21,30.437994
22,30.372927
23,29.367089
24,28.559503
25,27.959512
26,27.661189
27,27.561965
28,27.955493
29,27.135377
30,26.634762
31,30.654397
32,32.659953
33,33.061507
34,32.949901
35,33.149904
36,32.252103
37,31.648195
38,31.116443
39,30.640873
40,30.241829
41,30.141175
42,29.142827
43,28.338418
44,27.636076
45,27.136727
46,27.03683
47,28.1488
48,28.553255
49,28.95938
50,28.16184
51,27.457425
52,26.868043
53,26.461911
54,26.05845
55,25.827993
56,25.829359
57,24.92762
58,24.225751
59,23.630385
60,23.838956
61,23.940147
62,24.029458
63,23.1277
64,22.320047
65,21.610378
66,21.101879
67,20.795523
68,20.70358
69,20.803051
70,19.895064
71,19.226839
72,18.814554
73,18.508926
74,18.411253
75,22.130142
76,25.841458
77,26.139895
78,27.844815
79,26.938619
80,26.207593
81,25.608958
82,25.013484
83,24.716465
84,24.520848
85,24.522051
86,24.717584
87,23.711051
88,23.611063
89,23.314441
90,22.723459
91,22.423086
92,22.14171
93,22.14513
94,22.135113
95,22.43735
96,22.932357
97,23.627279
98,26.742161
99,27.042038
100,27.144574
101,30.141924
102,29.737232
103,29.532689
104,29.315996
105,29.408259
106,29.705415
107,30.108306
108,30.710765
109,31.525393
110,31.630397
111,31.437823
112,31.345786
113,30.850508
114,30.448889
115,30.25486
116,30.160045
117,30.259006
118,29.658941
119,29.057725
120,28.658089
121,29.062868
122,29.168213
123,29.167409
124,27.863123
125,26.548049
126,25.539942
127,24.429466
128,23.41635
129,22.515088
130,21.7131
131,21.008158
132,19.705025
133,18.591785
134,17.385076
135,16.379814
136,15.57671
137,14.772498
138,14.176004
139,12.967162
140,11.760519
141,10.656689
142,9.648117
143,8.650073
144,7.36467
145,6.25227
146,4.845751
147,3.846964
148,2.832298
149,2.020249
150,1.305786
