request_idx,time
1,0.201094
2,0.401807
3,0.301338
4,0.501609
5,0.401298
6,0.401605
7,0.502038
8,0.601686
9,0.401349
10,0.501444
11,0.400991
12,4.530851
13,3.029521
14,1.519571
15,0.301427
16,0.501689
17,0.401372
18,0.50137
19,0.501535
20,0.501614
21,0.501461
22,0.401313
23,0.40117
24,0.601562
25,0.601375
26,0.501298
27,0.300944
28,0.502269
29,0.401757
30,0.501732
31,0.401535
32,1.703449
33,0.401245
34,0.802657
35,0.501086
36,0.501511
37,0.501503
38,0.401289
39,0.601588
40,0.301098
41,0.501224
42,0.401368
43,0.401184
44,0.602023
45,0.301515
46,0.401425
47,0.401619
48,1.202985
49,1.402822
50,0.902107
51,1.002265
52,1.001997
53,1.203797
54,1.503529
55,0.902586
56,0.902487
57,10.417857
58,9.528131
59,8.628758
60,8.128381
61,27.673264
62,27.478536
63,27.467697
64,35.17977
65,36.983248
66,38.087725
67,37.988849
68,38.29408
69,38.996265
70,39.901318
71,41.103919
72,41.003834
73,41.006009
74,50.726668
75,52.630836
76,58.659137
77,58.057105
78,57.858827
79,57.65925
80,58.662016
81,81.906572
82,84.7267
83,84.629363
84,113.180981
85,137.529461
86,138.229809
87,161.065427
88,160.960222
89,161.056072
90,161.256492
91,161.863737
92,161.262841
93,161.074567
94,165.480005
95,164.485471
96,164.28551
97,163.885672
98,163.49373
99,163.294477
100,162.791676
101,162.493228
102,161.694584
103,160.894525
104,160.194021
105,159.694868
106,159.074685
107,157.779988
108,156.78099
109,165.194501
110,164.601303
111,179.028086
112,179.031573
113,178.537875
114,192.161566
115,195.369885
116,199.083277
117,198.082598
118,197.280667
119,197.88173
120,197.381072
121,196.484857
122,195.567566
123,195.080515
124,194.981045
125,194.980271
126,194.679016
127,211.408313
128,210.51405
129,209.71578
130,209.216935
131,208.719786
132,209.124003
133,207.923428
134,207.021652
135,206.224213
136,219.047318
137,218.549805
138,218.150037
139,217.849478
140,217.25028
141,216.765143
142,216.666521
143,215.866874
144,215.568571
145,222.578929
146,224.080501
147,223.881371
148,222.980044
149,222.178608
150,221.477221
