request_idx,time
1,7.117522
2,6.716786
3,5.012259
4,4.812675
5,4.611845
6,4.611688
7,3.709154
8,3.208172
9,3.108254
10,3.006985
11,2.706911
12,2.40563
13,2.305353
14,0.501277
15,0.902339
16,0.000251
17,0.000255
18,0.000234
19,0.000246
20,0.000242
21,0.000234
22,0.00024
23,0.000262
24,0.000236
25,0.000121
26,0.000238
27,0.000199
28,0.000247
29,0.000235
30,0.000278
31,1.904092
32,1.903397
33,1.102604
34,6.816995
35,5.613657
36,4.009751
37,2.405531
38,0.801715
39,0.000254
40,0.000253
41,0.000307
42,0.0003
43,0.000293
44,0.0003
45,0.000236
46,0.000296
47,0.000303
48,0.000283
49,0.000265
50,0.000258
51,0.000293
52,0.000258
53,0.000272
54,0.000295
55,0.000341
56,0.000273
57,0.00027
58,0.000281
59,0.000267
60,0.000353
61,0.401169
62,0.300868
63,0.00029
64,0.000278
65,0.100412
66,0.000276
67,0.000287
68,0.000286
69,0.00029
70,0.000281
71,0.000283
72,0.00028
73,0.000282
74,0.000278
75,0.000317
76,0.000359
77,0.000287
78,0.000302
79,0.000278
80,0.000277
81,0.000285
82,0.000324
83,0.000297
84,0.000308
85,0.000318
86,0.00031
87,0.000292
88,0.000304
89,0.000305
90,0.000338
