request_num,ttft,tpot,itl
1,0.06587553024291992,0.02762509822845459,0.02828385353088379
2,0.03308892250061035,0.02756450414657593,0.02789539337158203
3,0.03365373611450195,0.027590374946594238,0.02792691230773926
4,0.031461238861083984,0.02759737491607666,0.0279119873046875
5,0.03197789192199707,0.02760667324066162,0.02792645215988159
6,0.03141212463378906,0.02760423183441162,0.02791835308074951
7,0.03163743019104004,0.027597932815551757,0.027914307117462157
8,0.03193974494934082,0.027618746757507324,0.027938144207000734
9,0.03103780746459961,0.027640326023101805,0.027950704097747803
10,0.03351330757141113,0.02761988639831543,0.027955019474029542
