request_idx,time
1,2.306119
2,1.203289
3,1.002499
4,1.303193
5,1.704062
6,1.904412
7,2.006014
8,2.206819
9,1.404172
10,1.503701
11,1.904627
12,2.006124
13,2.207273
14,35.699253
15,36.301409
16,36.20149
17,35.198329
18,34.59734
19,38.006264
20,38.608853
21,38.609468
22,38.709998
23,38.309477
24,38.109122
25,39.111556
26,39.412551
27,38.811356
28,38.311379
29,38.009598
30,37.909755
31,37.809648
32,36.80742
33,36.106468
34,36.106374
35,35.804163
36,39.615105
37,39.214425
38,39.014401
39,39.115202
40,39.216133
41,55.262869
42,54.260777
43,54.058958
44,53.558213
45,53.157364
46,53.6584
47,54.461539
48,53.45695
49,53.356608
50,52.955724
51,53.255832
52,53.15576
53,54.261158
54,53.257759
55,53.058873
56,53.960519
57,53.660585
58,53.761041
59,54.060794
60,56.868345
61,56.366378
62,58.97295
63,58.671636
64,58.972112
65,59.172426
66,57.968678
67,57.167583
68,63.784415
69,63.984288
70,63.683569
71,64.186606
72,64.787885
73,64.487489
74,64.28721
75,64.487284
76,63.383686
77,63.09051
78,62.990366
79,63.592086
80,64.593076
81,63.588523
82,62.686594
83,62.185646
84,61.582905
85,61.584975
86,61.789551
87,61.388232
88,61.388449
89,61.890143
90,62.095155
91,61.394031
92,60.793276
93,60.593361
94,60.594008
95,60.794111
96,59.891222
97,59.290488
98,59.090753
99,58.89105
100,59.191816
101,59.693002
102,58.890846
103,58.189039
104,57.786994
105,57.991694
106,60.900964
107,61.30154
108,61.100173
109,61.394536
110,61.594789
111,62.298684
112,60.894898
113,59.389965
114,57.984747
115,56.281699
116,54.774665
117,53.266864
118,51.762649
119,50.359531
120,48.960569
121,47.351759
122,45.74706
123,44.443987
124,42.939399
125,41.534958
126,40.131891
127,38.827827
128,37.223102
129,35.618252
130,34.115395
131,32.610943
132,31.206634
133,29.802287
134,28.395038
135,26.991018
136,27.492296
137,28.81477
138,31.016006
139,33.41867
140,32.114457
141,30.911122
142,29.907067
143,33.010732
144,31.505084
145,34.602952
146,37.605463
147,40.80919
148,44.012196
149,47.115405
150,51.020993
