time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
2025-11-18 16:30:41.401430,3:08:41.950000,35,46,44,33,92,19,0.27214150632424056,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,21.176470588235293,45.156,-256,-256,-256,46.125,45.562,44.656,44.406,45.906,1353,1196,4744,OFF,25W
2025-11-18 16:30:41.402396,3:08:41.950000,35,46,44,33,92,19,0.27214150632424056,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,21.176470588235293,45.156,-256,-256,-256,46.125,45.562,44.656,44.406,45.906,1353,1196,4744,OFF,25W
2025-11-18 16:30:42.401067,3:08:42.950000,26,24,9,12,100,3,0.2820499018541844,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.187,-256,-256,-256,46.062,45.625,44.718,44.437,46.062,1156,1196,4505,OFF,25W
2025-11-18 16:30:43.403020,3:08:43.950000,12,5,4,8,100,4,0.2854231035608809,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.125,-256,-256,-256,45.875,45.562,44.593,44.406,45.875,1076,1196,4385,OFF,25W
2025-11-18 16:30:44.403958,3:08:44.950000,11,9,5,6,100,3,0.2872317138376629,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.031,-256,-256,-256,46.156,45.593,44.656,44.437,46.156,1036,1196,4385,OFF,25W
2025-11-18 16:30:45.408348,3:08:45.950000,10,11,6,6,100,6,0.2908812310033122,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.062,-256,-256,-256,46.0,45.468,44.625,44.406,46.0,1114,1196,4425,OFF,25W
2025-11-18 16:30:46.402403,3:08:46.950000,11,12,6,8,100,4,0.29284414731561326,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.281,-256,-256,-256,46.281,45.5,44.531,44.375,46.281,1076,1196,4385,OFF,25W
2025-11-18 16:30:47.409463,3:08:47.950000,16,13,14,8,100,12,0.2955847455411451,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.281,-256,-256,-256,46.031,45.531,44.593,44.375,46.031,1076,1196,4432,OFF,25W
2025-11-18 16:30:48.397598,3:08:48.950000,41,9,4,6,68,3,0.29587438976064107,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.281,-256,-256,-256,45.937,45.656,44.593,44.468,45.937,1076,1198,4353,OFF,25W
2025-11-18 16:30:49.399066,3:08:49.960000,100,5,3,6,3,3,0.29581133447037916,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.593,-256,-256,-256,46.093,45.593,44.687,44.5,46.093,1116,1156,4353,OFF,25W
2025-11-18 16:30:50.401114,3:08:50.960000,100,12,12,11,10,10,0.2988354251797717,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.343,-256,-256,-256,46.125,45.593,44.656,44.468,45.968,1116,1196,4392,OFF,25W
2025-11-18 16:30:51.409895,3:08:51.960000,88,11,10,9,17,5,0.3010315948015783,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.156,-256,-256,-256,46.125,45.656,44.718,44.5,46.125,996,1196,4432,OFF,25W
2025-11-18 16:30:52.411232,3:08:52.960000,9,8,7,10,100,4,0.3048425950276546,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.156,-256,-256,-256,46.031,45.625,44.718,44.375,46.031,1076,1196,4392,OFF,25W
2025-11-18 16:30:53.409515,3:08:53.960000,6,3,10,5,100,5,0.3073002134139621,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.125,-256,-256,-256,46.0,45.656,44.593,44.468,46.187,1076,1196,4385,OFF,25W
2025-11-18 16:30:54.413636,3:08:54.960000,6,9,3,5,100,3,0.3084095764068635,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.218,-256,-256,-256,46.062,45.625,44.656,44.406,46.062,958,1198,4320,OFF,25W
2025-11-18 16:30:55.413114,3:08:55.960000,8,13,8,9,100,3,0.3107098128898342,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.406,-256,-256,-256,46.281,45.625,44.687,44.406,46.281,1114,1196,4425,OFF,25W
2025-11-18 16:30:56.415161,3:08:56.960000,9,11,10,6,100,3,0.3134345191316415,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.187,-256,-256,-256,46.062,45.562,44.625,44.468,46.062,1114,1196,4465,OFF,25W
2025-11-18 16:30:57.421693,3:08:57.960000,9,7,7,6,100,3,0.3152620972599657,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.312,-256,-256,-256,46.375,45.593,44.687,44.406,46.375,917,1196,4392,OFF,25W
2025-11-18 16:30:58.409503,3:08:58.960000,8,7,9,22,43,2,0.3163776119885024,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.093,-256,-256,-256,46.156,45.625,44.75,44.437,46.156,722,1163,4019,OFF,25W
2025-11-18 16:30:59.416378,3:08:59.960000,13,5,9,22,1,3,0.3163324992605101,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.125,-256,-256,-256,45.968,45.625,44.75,44.406,45.968,643,1167,3824,OFF,25W
2025-11-18 16:31:00.416054,3:09:00.970000,13,10,18,27,2,3,0.31522723742469894,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,44.906,-256,-256,-256,45.906,45.656,44.687,44.406,46.093,643,1165,3904,OFF,25W
2025-11-18 16:31:01.419416,3:09:01.970000,11,33,22,37,24,31,0.3149575863460177,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,44.875,-256,-256,-256,45.937,45.593,44.781,44.406,45.937,602,1165,4019,OFF,25W
2025-11-18 16:31:02.420784,3:09:02.970000,47,93,12,87,100,100,0.31573526825924847,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.031,-256,-256,-256,46.0,45.625,44.656,44.375,46.093,601,1165,4139,OFF,25W
2025-11-18 16:31:03.423636,3:09:03.970000,39,79,9,7,98,62,0.31686564968223724,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.125,-256,-256,-256,45.906,45.562,44.531,44.312,45.906,601,1165,4179,OFF,25W
2025-11-18 16:31:04.414742,3:09:04.970000,19,85,13,26,12,10,0.318867014342259,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.312,-256,-256,-256,46.25,45.656,44.656,44.468,46.25,1116,1198,4672,OFF,25W
2025-11-18 16:31:05.415223,3:09:05.970000,83,13,16,11,31,11,0.32067357404049585,0.28419509294290135,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.187,-256,-256,-256,46.375,45.687,44.687,44.531,46.375,1154,1196,4585,OFF,25W
