request_num,ttft,tpot,itl
1,0.8286714553833008,0.025061896789905638,0.028916182628897735
2,0.25144314765930176,0.0006146430969238281,0.2520577907562256
3,0.053833961486816406,0.0312529863313187,0.031503376849862035
4,0.03884410858154297,0.02846935183502907,0.028650022107501363
5,0.051442623138427734,0.02853239525196164,0.02877166326655898
6,0.051343679428100586,0.030307145451390467,0.03054595326268396
7,0.04580521583557129,0.030509720292202263,0.030722767807716548
8,0.04365277290344238,0.031289454393608626,0.03149249054664789
9,0.07313966751098633,0.031373956591583964,0.03171414109163506
10,0.051476478576660156,0.03159479318663131,0.03183421866838322
11,0.053067684173583984,0.03182773700980253,0.0320745634478192
12,0.1731269359588623,0.03286745271017385,0.03367269427277321
13,0.05502510070800781,0.032421053287594814,0.032676983988562294
14,0.143507719039917,0.032299565159997275,0.03296704292297363
15,0.05840492248535156,0.03208337717278059,0.03235502797503804
16,0.05733132362365723,0.03164752139601597,0.031914178715195765
17,0.05778956413269043,0.0319646910617226,0.033485469065214456
18,0.2895338535308838,0.02921590954065323,0.03826384246349335
19,0.05723166465759277,0.032393050748248435,0.03265924453735351
20,0.22682976722717285,0.032168232161423255,0.033732575383679624
21,0.15649127960205078,0.032447497049967446,0.03551595351275276
22,0.06148815155029297,0.031829522376836734,0.03211551377939623
23,0.04822349548339844,0.03140657114428143,0.03163086647211119
24,0.11308813095092773,0.032107094586905784,0.0340238425691249
25,0.06976699829101562,0.032060108628383904,0.03238460629485374
26,0.06832003593444824,0.03363204113272734,0.03394980874172477
27,0.04306769371032715,0.032942058873731035,0.03314237372819767
28,0.05139589309692383,0.03185088246367698,0.032089933129244075
29,0.0610957145690918,0.03228274389754894,0.03256691001182379
30,0.08843731880187988,0.03183088967966479,0.03224222604618516
31,0.06436586380004883,0.031868885838708214,0.03216826194940611
32,0.051789045333862305,0.03290442644163619,0.033145305722258815
33,0.16429877281188965,0.03170432150363922,0.041972994804382324
34,0.04716134071350098,0.032007176377052485,0.03222653145013853
35,0.060980796813964844,0.03218047230742699,0.03246410392051519
36,0.05223202705383301,0.0308537760739604,0.03113013600546216
37,0.0725090503692627,0.03176049742587777,0.03209774882294411
38,0.07691097259521484,0.03173145249832508,0.03208917795225631
39,0.06281685829162598,0.031077540923501845,0.031664614365479654
40,0.20388221740722656,0.03204814112463663,0.032996430507926056
41,0.04920387268066406,0.032528053328048354,0.03275690854981888
42,0.061899423599243164,0.03138487616250681,0.03167278045831725
43,0.048655033111572266,0.03391527045856823,0.0361268628727306
44,0.05689811706542969,0.031327113439870435,0.031591755844825924
45,0.05013895034790039,0.03172732175782669,0.03196052617804949
46,0.0629274845123291,0.031958848376606785,0.03225153435108274
47,0.05310463905334473,0.03187789140745651,0.03212488972863486
48,0.04657292366027832,0.03180282060490098,0.03201943885448367
49,0.05860447883605957,0.031799773282782974,0.032072352254113486
50,0.05895662307739258,0.03172779637713765,0.032002013228660406
