request_idx,time
1,0.401201
2,0.701822
3,3.607662
4,4.510308
5,12.829118
6,12.82917
7,13.630609
8,44.49974
9,64.042586
10,64.243392
11,64.644468
12,65.04501
13,65.8459
14,66.647777
15,67.850276
16,68.552306
17,70.055631
18,71.759304
19,74.26471
20,74.565503
21,75.066234
22,74.966203
23,74.865978
24,75.267156
25,75.868206
26,75.467292
27,75.467595
28,76.369743
29,76.870905
30,77.171785
31,78.975378
32,78.57469
33,78.374514
34,78.474916
35,78.676047
36,79.276581
37,80.078239
38,81.080572
39,81.3815
40,81.481022
41,81.680485
42,82.081458
43,82.983241
44,83.985082
45,85.188229
46,86.592037
47,88.396292
48,90.300484
49,93.106239
50,92.605292
51,92.204274
52,92.003486
53,92.003624
54,92.003717
55,92.505722
56,93.106905
57,92.405488
58,92.1043
59,91.904149
60,91.903828
61,92.103315
62,92.504316
63,92.002864
64,91.201319
65,90.900673
66,90.800547
67,91.101352
68,91.702613
69,92.505018
70,92.0037
71,91.603032
72,91.609264
73,91.809631
74,91.709331
75,92.411388
76,93.112081
77,94.114097
78,97.020903
79,96.419975
80,96.219898
81,95.91995
82,95.230335
83,95.530928
84,95.931989
85,96.533904
86,97.535988
87,96.83445
88,96.233089
89,96.533509
90,96.433258
91,96.633743
92,96.633898
93,97.235216
94,98.037134
95,99.152184
96,100.555543
97,101.859006
98,103.863832
99,103.267286
100,102.966324
101,104.368306
102,104.468145
103,104.768375
104,105.268966
105,106.070006
106,106.971613
107,107.972661
108,109.375185
109,110.07618
110,110.376459
111,110.877213
112,111.477638
113,111.376883
114,111.276242
115,111.576525
116,112.177575
117,113.078631
118,112.67126
119,112.570841
120,112.570903
121,112.971237
122,113.472432
123,114.674977
124,113.973293
125,113.472289
126,113.372054
127,113.271263
128,113.270667
129,113.570442
130,114.159965
131,115.06147
132,114.660115
133,113.858035
134,113.857743
135,114.059292
136,114.760484
137,115.461938
138,114.860438
139,114.459257
140,114.158267
141,114.257455
142,114.457554
143,114.256193
144,112.652697
145,111.137174
146,109.733636
147,108.230122
148,106.826621
149,105.523609
150,104.320732
